{'DAT': '52541107', 'x': '-0.1843629181', 'y': '3.3640248775', 'z': '-9.6515188217'}
{'DAT': '52541108', 'x': '-0.1604196876', 'y': '3.3352928162', 'z': '-9.6515188217'}
{'DAT': '52541109', 'x': '-0.1628140062', 'y': '3.3783907890', 'z': '-9.5988435745'}
{'DAT': '52541110', 'x': '-0.1867572516', 'y': '3.3807849884', 'z': '-9.6419420242'}
{'DAT': '52541111', 'x': '-0.1867572516', 'y': '3.3472645283', 'z': '-9.6610965729'}
{'DAT': '52541112', 'x': '-0.2107004821', 'y': '3.3783907890', 'z': '-9.6275758743'}
{'DAT': '52541113', 'x': '-0.2035175115', 'y': '3.4071226120', 'z': '-9.6132097244'}
{'DAT': '52541114', 'x': '-0.1963345408', 'y': '3.4119112492', 'z': '-9.6012382507'}
{'DAT': '52541115', 'x': '-0.2011231929', 'y': '3.3831794262', 'z': '-9.6419420242'}
{'DAT': '52541116', 'x': '-0.1819685996', 'y': '3.3712077141', 'z': '-9.6658849716'}
{'DAT': '52541117', 'x': '-0.1891515702', 'y': '3.3759963512', 'z': '-9.6467304230'}
{'DAT': '52541118', 'x': '-0.2059118450', 'y': '3.3664190769', 'z': '-9.6203927994'}
{'DAT': '52541119', 'x': '-0.2250664234', 'y': '3.3592362404', 'z': '-9.6132097244'}
{'DAT': '52541120', 'x': '-0.1915459037', 'y': '3.3736021519', 'z': '-9.6419420242'}
{'DAT': '52541121', 'x': '-0.1747856289', 'y': '3.3927567005', 'z': '-9.6754617691'}
{'DAT': '52541122', 'x': '-0.1699969769', 'y': '3.3616304398', 'z': '-9.6539134979'}
{'DAT': '52541123', 'x': '-0.1460537463', 'y': '3.3616304398', 'z': '-9.6251811981'}
{'DAT': '52541124', 'x': '-0.1723913103', 'y': '3.3807849884', 'z': '-9.6251811981'}
{'DAT': '52541125', 'x': '-0.2298550755', 'y': '3.3759963512', 'z': '-9.6012382507'}
{'DAT': '52541126', 'x': '-0.2418266982', 'y': '3.3783907890', 'z': '-9.6299695969'}
{'DAT': '52541127', 'x': '-0.2202777863', 'y': '3.3736021519', 'z': '-9.6634902954'}
{'DAT': '52541128', 'x': '-0.2226721048', 'y': '3.3592362404', 'z': '-9.6826448441'}
{'DAT': '52541129', 'x': '-0.2011231929', 'y': '3.3807849884', 'z': '-9.6682786942'}
{'DAT': '52541130', 'x': '-0.1699969769', 'y': '3.3831794262', 'z': '-9.6491241455'}
{'DAT': '52541131', 'x': '-0.1747856289', 'y': '3.3496589661', 'z': '-9.6275758743'}
{'DAT': '52541132', 'x': '-0.1676026583', 'y': '3.3328986168', 'z': '-9.5725059509'}
{'DAT': '52541133', 'x': '-0.1723913103', 'y': '3.3161382675', 'z': '-9.5796890259'}
{'DAT': '52541134', 'x': '-0.1867572516', 'y': '3.3376872540', 'z': '-9.6179981232'}
{'DAT': '52541135', 'x': '-0.1747856289', 'y': '3.3688135147', 'z': '-9.6203927994'}
{'DAT': '52541136', 'x': '-0.1939402223', 'y': '3.3807849884', 'z': '-9.6323642731'}
{'DAT': '52541137', 'x': '-0.2083061635', 'y': '3.3544476032', 'z': '-9.6491241455'}
{'DAT': '52541138', 'x': '-0.1891515702', 'y': '3.3472645283', 'z': '-9.6778564453'}
{'DAT': '52541139', 'x': '-0.2011231929', 'y': '3.3975453377', 'z': '-9.6826448441'}
{'DAT': '52541140', 'x': '-0.2035175115', 'y': '3.3903622627', 'z': '-9.6443357468'}
{'DAT': '52541141', 'x': '-0.1867572516', 'y': '3.3688135147', 'z': '-9.5940551758'}
{'DAT': '52541142', 'x': '-0.1939402223', 'y': '3.3927567005', 'z': '-9.6132097244'}
{'DAT': '52541143', 'x': '-0.2011231929', 'y': '3.3712077141', 'z': '-9.6515188217'}
{'DAT': '52541144', 'x': '-0.1819685996', 'y': '3.3592362404', 'z': '-9.6275758743'}
{'DAT': '52541145', 'x': '-0.1628140062', 'y': '3.3568418026', 'z': '-9.6730680466'}
{'DAT': '52541146', 'x': '-0.1891515702', 'y': '3.3233213425', 'z': '-9.6922225952'}
{'DAT': '52541147', 'x': '-0.1867572516', 'y': '3.3400814533', 'z': '-9.6539134979'}
{'DAT': '52541148', 'x': '-0.1891515702', 'y': '3.3736021519', 'z': '-9.6539134979'}
{'DAT': '52541149', 'x': '-0.2154891342', 'y': '3.3927567005', 'z': '-9.6922225952'}
{'DAT': '52541150', 'x': '-0.2035175115', 'y': '3.3783907890', 'z': '-9.7137708664'}
{'DAT': '52541151', 'x': '-0.1939402223', 'y': '3.3664190769', 'z': '-9.6778564453'}
{'DAT': '52541152', 'x': '-0.2346437275', 'y': '3.3664190769', 'z': '-9.6419420242'}
{'DAT': '52541153', 'x': '-0.2466153353', 'y': '3.3616304398', 'z': '-9.6371526718'}
{'DAT': '52541154', 'x': '-0.1747856289', 'y': '3.3592362404', 'z': '-9.6730680466'}
{'DAT': '52541155', 'x': '-0.1508423984', 'y': '3.3592362404', 'z': '-9.6658849716'}
{'DAT': '52541156', 'x': '-0.1652083397', 'y': '3.3544476032', 'z': '-9.6658849716'}
{'DAT': '52541157', 'x': '-0.1723913103', 'y': '3.3640248775', 'z': '-9.6658849716'}
{'DAT': '52541158', 'x': '-0.1723913103', 'y': '3.3855736256', 'z': '-9.6443357468'}
{'DAT': '52541159', 'x': '-0.1795742810', 'y': '3.3712077141', 'z': '-9.6491241455'}
{'DAT': '52541160', 'x': '-0.1867572516', 'y': '3.3568418026', 'z': '-9.6179981232'}
{'DAT': '52541161', 'x': '-0.1867572516', 'y': '3.3544476032', 'z': '-9.6610965729'}
{'DAT': '52541162', 'x': '-0.2107004821', 'y': '3.3376872540', 'z': '-9.6587018967'}
{'DAT': '52541163', 'x': '-0.2035175115', 'y': '3.3424758911', 'z': '-9.5916604996'}
{'DAT': '52541164', 'x': '-0.1915459037', 'y': '3.3616304398', 'z': '-9.5892667770'}
{'DAT': '52541165', 'x': '-0.1939402223', 'y': '3.3783907890', 'z': '-9.6012382507'}
{'DAT': '52541166', 'x': '-0.1652083397', 'y': '3.3544476032', 'z': '-9.6467304230'}
{'DAT': '52541167', 'x': '-0.1436594278', 'y': '3.3257155418', 'z': '-9.6563072205'}
{'DAT': '52541168', 'x': '-0.1795742810', 'y': '3.3664190769', 'z': '-9.6179981232'}
{'DAT': '52541169', 'x': '-0.1891515702', 'y': '3.4023339748', 'z': '-9.6251811981'}
{'DAT': '52541170', 'x': '-0.1676026583', 'y': '3.3879680634', 'z': '-9.5964498520'}
{'DAT': '52541171', 'x': '-0.2083061635', 'y': '3.3544476032', 'z': '-9.5916604996'}
